,max length of binary vectors
867,1728.7930607963683
868,1730.7930607963683
869,1732.7914015724466
870,1734.7914015724466
871,1736.7897461562684
872,1738.7897461562684
873,1740.7880945303973
874,1742.7880945303973
875,1744.7864466775159
876,1746.7864466775159
877,1748.7848025804253
878,1750.7848025804253
879,1752.783162222044
880,1754.783162222044
881,1756.781525585407
882,1758.781525585407
883,1760.7798926536639
884,1762.7798926536639
885,1764.7782634100793
886,1766.7782634100793
887,1768.7766378380302
888,1770.7766378380302
889,1772.7750159210063
890,1774.7750159210063
891,1776.773397642608
892,1778.773397642608
893,1780.7717829865458
894,1782.7717829865458
895,1784.7701719366398
896,1786.7701719366398
897,1788.768564476818
898,1790.768564476818
899,1792.7669605911153
900,1794.7669605911153
901,1796.7653602636733
902,1798.7653602636733
903,1800.7637634787393
904,1802.7637634787393
905,1804.7621702206634
906,1806.7621702206634
907,1808.760580473901
908,1810.760580473901
909,1812.7589942230093
910,1814.7589942230093
911,1816.7574114526465
912,1818.7574114526465
913,1820.7558321475726
914,1822.7558321475726
915,1824.754256292647
916,1826.754256292647
917,1828.7526838728281
918,1830.7526838728281
919,1832.7511148731728
920,1834.7511148731728
921,1836.7495492788348
922,1838.7495492788348
923,1840.7479870750647
924,1842.7479870750647
925,1844.746428247208
926,1846.746428247208
927,1848.744872780706
928,1850.744872780706
929,1852.7433206610933
930,1854.7433206610933
931,1856.741771873998
932,1858.741771873998
933,1860.74022640514
934,1862.74022640514
935,1864.7386842403316
936,1866.7386842403316
937,1868.7371453654755
938,1870.7371453654755
939,1872.7356097665643
940,1874.7356097665643
941,1876.73407742968
942,1878.73407742968
943,1880.7325483409932
944,1882.7325483409932
945,1884.7310224867622
946,1886.7310224867622
947,1888.7294998533323
948,1890.7294998533323
949,1892.7279804271352
950,1894.7279804271352
951,1896.7264641946877
952,1898.7264641946877
953,1900.724951142592
954,1902.724951142592
955,1904.7234412575344
956,1906.7234412575344
957,1908.7219345262843
958,1910.7219345262843
959,1912.720430935694
960,1914.720430935694
961,1916.7189304726976
962,1918.7189304726976
963,1920.7174331243111
964,1922.7174331243111
965,1924.7159388776308
966,1926.7159388776308
967,1928.714447719833
968,1930.714447719833
969,1932.7129596381737
970,1934.7129596381737
971,1936.711474619987
972,1938.711474619987
973,1940.7099926526857
974,1942.7099926526857
975,1944.70851372376
976,1946.70851372376
977,1948.7070378207761
978,1950.7070378207761
979,1952.7055649313772
980,1954.7055649313772
981,1956.7040950432818
982,1958.7040950432818
983,1960.7026281442832
984,1962.7026281442832
985,1964.701164222249
986,1966.701164222249
987,1968.6997032651207
988,1970.6997032651207
989,1972.6982452609127
990,1974.6982452609127
991,1976.6967901977123
992,1978.6967901977123
993,1980.6953380636785
994,1982.6953380636785
995,1984.6938888470413
996,1986.6938888470413
997,1988.6924425361024
998,1990.6924425361024
999,1992.6909991192329
1000,1994.6909991192329
1001,1996.6895585848733
1002,1998.6895585848733
1003,2000.6881209215348
1004,2002.6881209215348
1005,2004.6866861177955
1006,2006.6866861177955
1007,2008.6852541623025
1008,2010.6852541623025
1009,2012.6838250437697
1010,2014.6838250437697
1011,2016.6823987509783
1012,2018.6823987509783
1013,2020.6809752727763
1014,2022.6809752727763
1015,2024.6795545980767
1016,2026.6795545980767
1017,2028.6781367158583
1018,2030.6781367158583
1019,2032.6767216151652
1020,2034.6767216151652
1021,2036.6753092851054
1022,2038.6753092851054
1023,2040.673899714851
1024,2042.673899714851
1025,2044.6724928936364
1026,2046.6724928936364
1027,2048.671088810761
1028,2050.671088810761
1029,2052.669687455584
1030,2054.6696874555846
1031,2056.668288817529
1032,2058.668288817529
1033,2060.666892886079
1034,2062.666892886079
1035,2064.6654996507796
1036,2066.6654996507796
1037,2068.6641091012348
1038,2070.6641091012348
1039,2072.6627212271105
1040,2074.6627212271105
1041,2076.6613360181314
1042,2078.6613360181314
1043,2080.6599534640814
1044,2082.6599534640814
1045,2084.6585735548024
1046,2086.6585735548024
1047,2088.657196280196
1048,2090.657196280196
1049,2092.65582163022
1050,2094.65582163022
1051,2096.6544495948897
1052,2098.6544495948897
1053,2100.6530801642784
1054,2102.6530801642784
