Final Quaternary String Length,Number of possible strands,Log2 Count
377,9.381037774576189112e+224,747.34164078405761594
378,3.685489966477647305e+225,749.3156777804335769
379,1.4639305907195824604e+226,751.3055965973472022
380,5.8116110839984797517e+226,753.2946876048511179
381,2.2844895304199774653e+227,755.2695493702701117
382,9.06953868274034819e+227,757.2587067101355842
383,3.5649788411756798923e+228,759.2334991483450002
384,1.4153795659821087103e+229,761.22272272539256044
385,5.5631894931260476446e+229,763.1974459766521206
386,2.2088169568794399722e+230,765.186735692608225
387,8.681402160791373393e+230,767.1613898998333394
388,3.447034491160528951e+231,769.1507456534205228
389,1.3547371362306946776e+232,771.125330962092362
390,5.3793603519553962093e+232,773.11475264911747807
391,2.1348859289751107474e+233,775.1034050947143192
392,8.394885289775731948e+233,777.07875672063573713
393,3.3317883552168359387e+234,779.0674709631166889
394,1.3100806333325980453e+235,781.0427579085593324
395,5.199711495394012867e+235,783.0315338764548121
396,2.0444685352646028168e+236,785.0067562531186577
397,8.114844663644060438e+236,786.9955938720311444
398,3.1905238219184894233e+237,788.9707517941896441
399,1.2664274255329486372e+238,790.9596509868721618
400,5.0244023957946626148e+238,792.94783859502723444
401,1.9764213968030680126e+239,794.9237052577261862
402,7.8415336873438163758e+239,796.91195052970720825
403,3.0844514714025375422e+240,798.88775672106141534
404,1.22381775972242306884e+241,800.87605960830367813
405,4.8136610033234155502e+241,802.8518054130641508
406,1.9099924049653958835e+242,804.840165864175202
407,7.5122881768968617525e+242,806.81585136963721416
408,2.980888211646089591e+243,808.8042693304664017
409,1.17237935958254457356e+244,810.77989462639854584
410,4.6522056992299371816e+244,812.7683700401053035
411,1.8452290855787077008e+245,814.75618318570117043
412,7.2605798900422456997e+245,816.732468025800867
413,2.8799097780348205749e+246,818.72033495784046286
414,1.1331382445710911688e+247,820.6965633200406955
415,4.494761511712759831e+247,822.6844840067564709
416,1.768453669087067071e+248,824.6606559550889214
417,7.0150959176455603606e+248,826.64863036206435715
418,2.759965696716976875e+249,828.6247459629842596
419,1.0948629805805815456e+250,830.61277405321425443
420,4.3414140528964302272e+250,832.60018874488608354
421,1.7087760039506932385e+251,834.57691510948847374
422,6.775973362205340227e+251,836.5643800198676898
423,2.6669183355231768621e+252,838.5410535599988773
424,1.0575755050587714177e+253,840.5285686739946894
425,4.1623013714083485936e+253,842.50518943368441127
426,1.6506321346668206312e+254,844.4927547336786227
427,6.496157710206055744e+254,846.46932275930879275
428,2.5762525520941233233e+255,848.4569382252090189
429,1.0138619848389216269e+256,850.43345356545834524
430,4.020923486488357973e+256,852.42111917475042177
431,1.5940454107234819086e+257,854.4082131150620588
432,6.275703628356348706e+257,856.38529760833956506
433,2.4880059922106033713e+258,858.372438441055152
434,9.794861351389239495e+258,860.3494735518826917
435,3.8833041248919009734e+259,862.33666127361971343
436,1.5287392569861157934e+260,864.3136470311530127
437,6.061088741511033203e+260,866.3008816361776961
438,2.385985550617539847e+261,868.27781807178830126
439,9.460174441378333828e+261,870.2650995520617118
440,3.7494789049012337572e+262,872.2518509671500042
441,1.4765457815410817187e+263,874.22931504451211526
442,5.8523713207773818216e+263,876.2161102637537806
443,2.3045915603418604832e+264,878.1935281366742165
444,9.134654218791853642e+264,880.1803671686866574
445,3.5969988704861974194e+265,882.1577388515956195
446,1.425777108107710484e+266,884.1446217027728512
447,5.61417475579296837e+266,886.1219472122236823
448,2.2254121523543496113e+267,888.10887388677674004
449,8.762556894703552791e+267,890.08615324140309527
450,3.4735101464540538137e+268,892.0731237413999368
451,1.3764403717873136464e+269,894.0595996375834213
452,5.421581533432476727e+269,896.0373712872784765
453,2.1484593872207578896e+270,898.02388812538993773
454,8.462189101206543099e+270,900.001616544980116
455,3.353483787021677351e+271,901.9881743415942336
456,1.3208052186625560139e+272,903.9658595350017426
457,5.234372133465453176e+272,905.95245830463508535
458,2.0615513165341392385e+273,907.9301002777668883
459,8.1701928295032678084e+273,909.91674003291282147
460,3.2369223102455071413e+274,911.9029207388059084
461,1.2752618006233298817e+275,913.8810195447865457
462,5.0525525404307899605e+275,915.8672385129898408
463,1.9905162781963987785e+276,917.8452968585714601
464,7.8865806082376775427e+276,919.8315541141422905
465,3.1069299380483443195e+277,921.80957199253628337
466,1.2310225418163221245e+278,923.7958675585991644
467,4.8494952201640927132e+278,925.7738449649007649
468,1.9215098728733662096e+279,927.7601788626778305
469,7.569391463253955094e+279,929.73811579383328935
