Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
366,58.0,54.0,30.0,60.0
367,59.0,55.0,31.0,61.0
368,58.0,54.0,30.0,60.0
369,59.0,55.0,31.0,61.0
370,58.0,54.0,30.0,60.0
371,59.0,55.0,29.0,61.0
372,58.0,54.0,28.0,60.0
373,59.0,55.0,29.0,61.0
374,58.0,54.0,28.0,60.0
375,59.0,55.0,29.0,63.0
376,58.0,54.0,28.0,62.0
377,59.0,55.0,29.0,63.0
378,58.0,54.0,28.0,62.0
379,59.0,55.0,29.0,63.0
380,58.0,54.0,28.0,62.0
381,59.0,55.0,29.0,63.0
382,58.0,54.0,28.0,62.0
383,59.0,55.0,29.0,63.0
384,58.0,54.0,28.0,62.0
385,63.0,59.0,31.0,65.0
386,62.0,58.0,30.0,64.0
387,63.0,59.0,31.0,63.0
388,62.0,58.0,30.0,62.0
389,63.0,59.0,31.0,65.0
390,62.0,58.0,30.0,64.0
391,63.0,59.0,31.0,65.0
392,62.0,58.0,30.0,64.0
393,63.0,59.0,31.0,65.0
394,62.0,58.0,30.0,64.0
395,63.0,59.0,31.0,65.0
396,62.0,58.0,30.0,64.0
397,63.0,59.0,31.0,65.0
398,62.0,58.0,30.0,64.0
399,63.0,59.0,31.0,65.0
400,62.0,58.0,30.0,64.0
401,63.0,59.0,31.0,65.0
402,62.0,58.0,30.0,64.0
403,63.0,59.0,31.0,65.0
404,62.0,58.0,30.0,64.0
405,63.0,59.0,31.0,65.0
406,62.0,58.0,30.0,64.0
407,63.0,59.0,31.0,67.0
408,62.0,58.0,30.0,66.0
409,63.0,59.0,31.0,67.0
410,62.0,58.0,30.0,66.0
411,63.0,59.0,31.0,67.0
412,62.0,58.0,30.0,66.0
413,63.0,59.0,31.0,67.0
414,62.0,58.0,30.0,66.0
415,63.0,59.0,31.0,67.0
416,62.0,58.0,30.0,66.0
417,67.0,63.0,33.0,69.0
418,66.0,62.0,32.0,68.0
419,67.0,63.0,33.0,69.0
420,66.0,62.0,32.0,68.0
421,67.0,63.0,33.0,69.0
422,66.0,62.0,32.0,68.0
423,67.0,63.0,33.0,69.0
424,66.0,62.0,32.0,68.0
425,67.0,63.0,33.0,69.0
426,66.0,62.0,32.0,68.0
427,67.0,63.0,33.0,71.0
428,66.0,62.0,32.0,70.0
429,67.0,63.0,33.0,69.0
430,66.0,62.0,32.0,68.0
431,67.0,63.0,33.0,71.0
432,66.0,62.0,32.0,70.0
433,67.0,63.0,33.0,71.0
434,66.0,62.0,32.0,70.0
435,67.0,63.0,33.0,71.0
436,66.0,62.0,32.0,70.0
437,67.0,63.0,33.0,71.0
438,66.0,62.0,32.0,70.0
439,67.0,63.0,33.0,71.0
440,66.0,62.0,32.0,70.0
441,67.0,63.0,33.0,71.0
442,66.0,62.0,32.0,70.0
443,67.0,63.0,33.0,71.0
444,66.0,62.0,32.0,70.0
445,67.0,63.0,33.0,71.0
446,66.0,62.0,32.0,70.0
447,67.0,63.0,33.0,71.0
448,66.0,62.0,32.0,70.0
449,73.0,67.0,35.0,73.0
450,72.0,66.0,34.0,72.0
451,73.0,67.0,35.0,73.0
452,72.0,66.0,34.0,72.0
453,73.0,67.0,35.0,73.0
454,72.0,66.0,34.0,72.0
455,73.0,67.0,35.0,73.0
456,72.0,66.0,34.0,72.0
457,73.0,67.0,35.0,73.0
458,72.0,66.0,34.0,72.0
459,73.0,67.0,35.0,75.0
460,72.0,66.0,34.0,74.0
461,73.0,67.0,35.0,75.0
462,72.0,66.0,34.0,74.0
463,73.0,67.0,35.0,75.0
464,72.0,66.0,34.0,74.0
465,73.0,67.0,35.0,75.0
