Final Quaternary Strand Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks
596,72.0,69.0,37.0
597,72.0,69.0,37.0
598,72.0,70.0,38.0
599,72.0,71.0,38.0
600,72.0,71.0,38.0
601,73.0,71.0,38.0
602,74.0,71.0,38.0
603,74.0,71.0,38.0
604,74.0,71.0,38.0
605,74.0,71.0,38.0
606,74.0,71.0,38.0
607,74.0,71.0,38.0
608,74.0,71.0,38.0
609,74.0,71.0,38.0
610,74.0,71.0,38.0
611,74.0,71.0,38.0
612,74.0,71.0,38.0
613,74.0,71.0,38.0
614,74.0,71.0,38.0
615,74.0,71.0,39.0
616,74.0,72.0,39.0
617,74.0,73.0,39.0
618,74.0,73.0,39.0
619,75.0,73.0,39.0
620,76.0,73.0,39.0
621,76.0,73.0,39.0
622,76.0,73.0,39.0
623,76.0,73.0,39.0
624,76.0,73.0,39.0
625,76.0,73.0,39.0
626,76.0,73.0,39.0
627,76.0,73.0,39.0
628,76.0,73.0,39.0
629,76.0,73.0,39.0
630,76.0,73.0,39.0
631,76.0,73.0,39.0
632,76.0,73.0,40.0
633,76.0,73.0,40.0
634,76.0,74.0,40.0
635,76.0,75.0,40.0
636,76.0,75.0,40.0
637,77.0,75.0,40.0
638,78.0,75.0,40.0
639,78.0,75.0,40.0
640,78.0,75.0,40.0
641,78.0,75.0,40.0
642,78.0,75.0,40.0
643,78.0,75.0,40.0
644,78.0,75.0,40.0
645,78.0,75.0,40.0
646,78.0,75.0,40.0
647,78.0,75.0,40.0
648,78.0,75.0,40.0
649,78.0,75.0,41.0
650,78.0,75.0,41.0
651,78.0,75.0,41.0
652,78.0,76.0,41.0
653,78.0,77.0,41.0
654,78.0,77.0,41.0
655,79.0,77.0,41.0
656,80.0,77.0,41.0
657,80.0,77.0,41.0
658,80.0,77.0,41.0
659,80.0,77.0,41.0
660,80.0,77.0,41.0
661,80.0,77.0,41.0
662,80.0,77.0,41.0
663,80.0,77.0,41.0
664,80.0,77.0,41.0
665,80.0,77.0,41.0
666,80.0,77.0,42.0
667,80.0,77.0,42.0
668,80.0,77.0,42.0
669,80.0,77.0,42.0
670,80.0,78.0,42.0
671,80.0,79.0,42.0
672,80.0,79.0,42.0
673,81.0,79.0,42.0
674,82.0,79.0,42.0
675,82.0,79.0,42.0
676,82.0,79.0,42.0
677,82.0,79.0,42.0
678,82.0,79.0,42.0
679,82.0,79.0,42.0
680,82.0,79.0,42.0
681,82.0,79.0,42.0
682,82.0,79.0,42.0
683,82.0,79.0,43.0
684,82.0,79.0,43.0
685,82.0,79.0,43.0
686,82.0,79.0,43.0
687,82.0,79.0,43.0
688,82.0,80.0,43.0
689,82.0,81.0,43.0
690,82.0,81.0,43.0
691,83.0,81.0,43.0
692,84.0,81.0,43.0
693,84.0,81.0,43.0
694,84.0,81.0,43.0
695,84.0,81.0,43.0
696,84.0,81.0,43.0
697,84.0,81.0,43.0
698,84.0,81.0,43.0
699,84.0,81.0,43.0
700,84.0,81.0,44.0
701,84.0,81.0,44.0
702,84.0,81.0,44.0
703,84.0,81.0,44.0
704,84.0,81.0,44.0
705,84.0,81.0,44.0
706,84.0,82.0,44.0
707,84.0,83.0,44.0
708,84.0,83.0,44.0
709,85.0,83.0,44.0
710,86.0,83.0,44.0
711,86.0,83.0,44.0
712,86.0,83.0,44.0
713,86.0,83.0,44.0
714,86.0,83.0,44.0
715,86.0,83.0,44.0
716,86.0,83.0,44.0
717,86.0,83.0,45.0
718,86.0,83.0,45.0
719,86.0,83.0,45.0
720,86.0,83.0,45.0
721,86.0,83.0,45.0
722,86.0,83.0,45.0
723,86.0,83.0,45.0
724,86.0,84.0,45.0
725,86.0,85.0,45.0
726,86.0,85.0,45.0
727,87.0,85.0,45.0
728,88.0,85.0,45.0
729,88.0,85.0,45.0
730,88.0,85.0,45.0
731,88.0,85.0,45.0
732,88.0,85.0,45.0
733,88.0,85.0,45.0
734,88.0,85.0,46.0
735,88.0,85.0,46.0
736,88.0,85.0,46.0
737,88.0,85.0,46.0
738,88.0,85.0,46.0
739,88.0,85.0,46.0
740,88.0,85.0,46.0
741,88.0,85.0,46.0
742,88.0,86.0,46.0
743,88.0,87.0,46.0
744,88.0,87.0,46.0
745,89.0,87.0,46.0
746,90.0,87.0,46.0
747,90.0,87.0,46.0
748,90.0,87.0,46.0
749,90.0,87.0,46.0
750,90.0,87.0,46.0
751,90.0,87.0,47.0
752,90.0,87.0,47.0
753,90.0,87.0,47.0
754,90.0,87.0,47.0
755,90.0,87.0,47.0
756,90.0,87.0,47.0
757,90.0,87.0,47.0
758,90.0,87.0,47.0
759,90.0,87.0,47.0
760,90.0,88.0,47.0
761,90.0,89.0,47.0
762,90.0,89.0,47.0
763,91.0,89.0,47.0
764,92.0,89.0,47.0
765,92.0,89.0,47.0
766,92.0,89.0,47.0
767,92.0,89.0,47.0
768,92.0,89.0,48.0
769,92.0,89.0,48.0
770,92.0,89.0,48.0
771,92.0,89.0,48.0
772,92.0,89.0,48.0
773,92.0,89.0,48.0
774,92.0,89.0,48.0
775,92.0,89.0,48.0
776,92.0,89.0,48.0
777,92.0,89.0,48.0
778,92.0,90.0,48.0
779,92.0,91.0,48.0
780,92.0,91.0,48.0
781,93.0,91.0,48.0
782,94.0,91.0,48.0
783,94.0,91.0,48.0
784,94.0,91.0,48.0
785,94.0,91.0,49.0
786,94.0,91.0,49.0
787,94.0,91.0,49.0
788,94.0,91.0,49.0
789,94.0,91.0,49.0
790,94.0,91.0,49.0
791,94.0,91.0,49.0
792,94.0,91.0,49.0
793,94.0,91.0,49.0
794,94.0,91.0,49.0
795,94.0,91.0,49.0
796,94.0,92.0,49.0
797,94.0,93.0,49.0
798,94.0,93.0,49.0
799,95.0,93.0,49.0
800,96.0,93.0,49.0
801,96.0,93.0,49.0
802,96.0,93.0,50.0
803,96.0,93.0,50.0
804,96.0,93.0,50.0
805,96.0,93.0,50.0
806,96.0,93.0,50.0
807,96.0,93.0,50.0
808,96.0,93.0,50.0
809,96.0,93.0,50.0
810,96.0,93.0,50.0
811,96.0,93.0,50.0
812,96.0,93.0,50.0
813,96.0,93.0,50.0
814,96.0,94.0,50.0
815,96.0,95.0,50.0
816,96.0,95.0,50.0
817,97.0,95.0,50.0
818,98.0,95.0,50.0
819,98.0,95.0,51.0
820,98.0,95.0,51.0
821,98.0,95.0,51.0
822,98.0,95.0,51.0
823,98.0,95.0,51.0
824,98.0,95.0,51.0
825,98.0,95.0,51.0
826,98.0,95.0,51.0
827,98.0,95.0,51.0
828,98.0,95.0,51.0
829,98.0,95.0,51.0
830,98.0,95.0,51.0
831,98.0,95.0,51.0
832,98.0,96.0,51.0
833,98.0,97.0,51.0
834,98.0,97.0,51.0
835,99.0,97.0,51.0
836,100.0,97.0,52.0
837,100.0,97.0,52.0
838,100.0,97.0,52.0
839,100.0,97.0,52.0
840,100.0,97.0,52.0
841,100.0,97.0,52.0
842,100.0,97.0,52.0
843,100.0,97.0,52.0
844,100.0,97.0,52.0
845,100.0,97.0,52.0
846,100.0,97.0,52.0
847,100.0,97.0,52.0
848,100.0,97.0,52.0
849,100.0,97.0,52.0
850,100.0,98.0,52.0
851,100.0,99.0,52.0
852,100.0,99.0,52.0
853,101.0,99.0,53.0
854,102.0,99.0,53.0
855,102.0,99.0,53.0
856,102.0,99.0,53.0
857,102.0,99.0,53.0
858,102.0,99.0,53.0
859,102.0,99.0,53.0
860,102.0,99.0,53.0
861,102.0,99.0,53.0
862,102.0,99.0,53.0
863,102.0,99.0,53.0
864,102.0,99.0,53.0
865,102.0,99.0,53.0
866,102.0,99.0,53.0
867,102.0,99.0,53.0
868,102.0,100.0,53.0
869,102.0,101.0,53.0
870,102.0,101.0,54.0
871,103.0,101.0,54.0
872,104.0,101.0,54.0
873,104.0,101.0,54.0
874,104.0,101.0,54.0
875,104.0,101.0,54.0
876,104.0,101.0,54.0
877,104.0,101.0,54.0
878,104.0,101.0,54.0
879,104.0,101.0,54.0
880,104.0,101.0,54.0
881,104.0,101.0,54.0
882,104.0,101.0,54.0
883,104.0,101.0,54.0
884,104.0,101.0,54.0
885,104.0,101.0,54.0
886,104.0,102.0,54.0
887,104.0,103.0,55.0
888,104.0,103.0,55.0
889,105.0,103.0,55.0
890,106.0,103.0,55.0
891,106.0,103.0,55.0
892,106.0,103.0,55.0
893,106.0,103.0,55.0
894,106.0,103.0,55.0
895,106.0,103.0,55.0
896,106.0,103.0,55.0
897,106.0,103.0,55.0
898,106.0,103.0,55.0
899,106.0,103.0,55.0
900,106.0,103.0,55.0
901,106.0,103.0,55.0
902,106.0,103.0,55.0
903,106.0,103.0,55.0
904,106.0,104.0,56.0
905,106.0,105.0,56.0
906,106.0,105.0,56.0
907,107.0,105.0,56.0
908,108.0,105.0,56.0
909,108.0,105.0,56.0
910,108.0,105.0,56.0
911,108.0,105.0,56.0
912,108.0,105.0,56.0
913,108.0,105.0,56.0
914,108.0,105.0,56.0
915,108.0,105.0,56.0
916,108.0,105.0,56.0
917,108.0,105.0,56.0
918,108.0,105.0,56.0
919,108.0,105.0,56.0
920,108.0,105.0,56.0
921,108.0,105.0,57.0
922,108.0,106.0,57.0
923,108.0,107.0,57.0
924,108.0,107.0,57.0
925,109.0,107.0,57.0
926,110.0,107.0,57.0
927,110.0,107.0,57.0
928,110.0,107.0,57.0
929,110.0,107.0,57.0
930,110.0,107.0,57.0
931,110.0,107.0,57.0
932,110.0,107.0,57.0
933,110.0,107.0,57.0
934,110.0,107.0,57.0
935,110.0,107.0,57.0
936,110.0,107.0,57.0
937,110.0,107.0,57.0
938,110.0,107.0,58.0
939,110.0,107.0,58.0
940,110.0,108.0,58.0
941,110.0,109.0,58.0
942,110.0,109.0,58.0
943,111.0,109.0,58.0
944,112.0,109.0,58.0
945,112.0,109.0,58.0
946,112.0,109.0,58.0
947,112.0,109.0,58.0
948,112.0,109.0,58.0
949,112.0,109.0,58.0
950,112.0,109.0,58.0
951,112.0,109.0,58.0
952,112.0,109.0,58.0
953,112.0,109.0,58.0
954,112.0,109.0,58.0
955,112.0,109.0,59.0
956,112.0,109.0,59.0
957,112.0,109.0,59.0
958,112.0,110.0,59.0
959,112.0,111.0,59.0
960,112.0,111.0,59.0
961,113.0,111.0,59.0
962,114.0,111.0,59.0
963,114.0,111.0,59.0
964,114.0,111.0,59.0
965,114.0,111.0,59.0
966,114.0,111.0,59.0
967,114.0,111.0,59.0
968,114.0,111.0,59.0
969,114.0,111.0,59.0
970,114.0,111.0,59.0
971,114.0,111.0,59.0
972,114.0,111.0,60.0
973,114.0,111.0,60.0
974,114.0,111.0,60.0
975,114.0,111.0,60.0
976,114.0,112.0,60.0
977,114.0,113.0,60.0
978,114.0,113.0,60.0
979,115.0,113.0,60.0
980,116.0,113.0,60.0
981,116.0,113.0,60.0
982,116.0,113.0,60.0
983,116.0,113.0,60.0
